compound,Name,Formula,CAS,MolWeight,Tc,Pc,Vc,Zc,Acentric factor
1,Acetaldehyde,C2H4O,75-07-0,44.05256,466.0,5.57,0.154,0.221,0.262493
2,Acetamide,C2H5NO,60-35-5,59.0672,761.0,6.6,0.215,0.224,0.421044
3,Acetic acid,C2H4O2,64-19-7,60.052,591.95,5.786,0.177,0.208,0.466521
4,Acetic anhydride,C4H6O3,108-24-7,102.08864,606.0,4.0,0.304,0.241,0.455328
5,Acetone,C3H6O,67-64-1,58.07914,508.2,4.701,0.209,0.233,0.306527
6,Acetonitrile,C2H3N,75-05-8,41.0519,545.5,4.85,0.193,0.206,0.341926
7,Acetylene,C2H2,74-86-2,26.03728,308.3,6.138,0.112,0.268,0.191185
8,Acrolein,C3H4O,107-02-8,56.06326,506.0,5.0,0.197,0.234,0.319832
9,Acrylic acid,C3H4O2,79-10-7,72.06266,615.0,5.66,0.208,0.23,0.538324
10,Acrylonitrile,C3H3N,107-13-1,53.0626,540.0,4.66,0.216,0.224,0.310664
11,Air,Mixture,132259-10-0,28.96,132.45,3.774,0.09147,0.313,0.0
12,Ammonia,H3N,7664-41-7,17.03052,405.65,11.28,0.07247,0.242,0.252608
13,Anisole,C7H8O,100-66-3,108.13782,645.6,4.25,0.337,0.267,0.350169
14,Argon,Ar,7440-37-1,39.948,150.86,4.898,0.07459,0.291,0.0
15,Benzamide,C7H7NO,55-21-0,121.13658,824.0,5.05,0.346,0.255,0.5585
16,Benzene,C6H6,71-43-2,78.11184,562.05,4.895,0.256,0.268,0.2103
17,Benzenethiol,C6H6S,108-98-5,110.17684,689.0,4.74,0.315,0.261,0.262789
18,Benzoic acid,C7H6O2,65-85-0,122.12134,751.0,4.47,0.344,0.246,0.602794
19,Benzonitrile,C7H5N,100-47-0,103.1213,702.3,4.215,0.3132,0.226,0.343214
20,Benzophenone,C13H10O,119-61-9,182.2179,830.0,3.352,0.5677,0.276,0.501941
21,Benzyl alcohol,C7H8O,100-51-6,108.13782,720.15,4.374,0.382,0.279,0.363116
22,Benzyl ethyl ether,C9H12O,539-30-0,136.19098,662.0,3.11,0.442,0.25,0.433236
23,Benzyl mercaptan,C7H8S,100-53-8,124.20342,718.0,4.06,0.367,0.25,0.312604
24,Biphenyl,C12H10,92-52-4,154.2078,773.0,3.38,0.497,0.261,0.402873
25,Bromine,Br2,7726-95-6,159.808,584.15,10.3,0.135,0.286,0.128997
26,Bromobenzene,C6H5Br,108-86-1,157.0079,670.15,4.5191,0.324,0.263,0.250575
27,Bromoethane,C2H5Br,74-96-4,108.965,503.8,5.565,0.204,0.271,0.205275
28,Bromomethane,CH3Br,74-83-9,94.93852,464.0,6.929,0.152,0.273,0.153426
29,"1,2-Butadiene",C4H6,590-19-2,54.09044,452.0,4.36,0.22,0.255,0.165877
30,"1,3-Butadiene",C4H6,106-99-0,54.09044,425.0,4.32,0.221,0.27,0.195032
31,Butane,C4H10,106-97-8,58.1222,425.12,3.796,0.255,0.274,0.200164
32,"1,2-Butanediol",C4H10O2,584-03-2,90.121,680.0,5.21,0.303,0.279,0.630463
33,"1,3-Butanediol",C4H10O2,107-88-0,90.121,676.0,4.02,0.305,0.218,0.704256
34,1-Butanol,C4H10O,71-36-3,74.1216,563.1,4.414,0.273,0.258,0.58828
35,2-Butanol,C4H10O,78-92-2,74.1216,535.9,4.1885,0.27,0.254,0.580832
36,1-Butene,C4H8,106-98-9,56.10632,419.5,4.02,0.241,0.278,0.184495
37,cis-2-Butene,C4H8,590-18-1,56.10632,435.5,4.21,0.234,0.272,0.201877
38,trans-2-Butene,C4H8,624-64-6,56.10632,428.6,4.1,0.238,0.274,0.217592
39,Butyl acetate,C6H12O2,123-86-4,116.15828,575.4,3.09,0.389,0.251,0.439393
40,Butylbenzene,C10H14,104-51-8,134.21816,660.5,2.89,0.497,0.262,0.394149
41,Butyl mercaptan,C4H10S,109-79-5,90.1872,570.1,3.97,0.307,0.257,0.271361
42,sec-Butyl mercaptan,C4H10S,513-53-1,90.1872,554.0,4.06,0.307,0.271,0.25059
43,1-Butyne,C4H6,107-00-6,54.09044,440.0,4.6,0.208,0.262,0.246976
44,Butyraldehyde,C4H8O,123-72-8,72.10572,537.2,4.41,0.258,0.255,0.282553
45,Butyric acid,C4H8O2,107-92-6,88.1051,615.7,4.06,0.293,0.232,0.675003
46,Butyronitrile,C4H7N,109-74-0,69.1051,585.4,3.88,0.291,0.232,0.3601
47,Carbon dioxide,CO2,124-38-9,44.0095,304.21,7.383,0.094,0.274,0.223621
48,Carbon disulfide,CS2,75-15-0,76.1407,552.0,7.9,0.16,0.275,0.110697
49,Carbon monoxide,CO,630-08-0,28.0101,132.92,3.499,0.0944,0.299,0.0481621
50,Carbon tetrachloride,CCl4,56-23-5,153.8227,556.35,4.56,0.276,0.272,0.192552
51,Carbon tetrafluoride,CF4,75-73-0,88.0043,227.51,3.745,0.143,0.283,0.178981
52,Chlorine,Cl2,7782-50-5,70.906,417.15,7.71,0.124,0.276,0.0688183
53,Chlorobenzene,C6H5Cl,108-90-7,112.5569,632.35,4.5191,0.308,0.265,0.249857
54,Chloroethane,C2H5Cl,75-00-3,64.5141,460.35,5.27,0.192,0.264,0.188591
55,Chloroform,CHCl3,67-66-3,119.37764,536.4,5.472,0.239,0.293,0.221902
56,Chloromethane,CH3Cl,74-87-3,50.4875,416.25,6.68,0.141,0.272,0.151
57,1-Chloropropane,C3H7Cl,540-54-5,78.54068,503.15,4.425,0.243,0.257,0.215047
58,2-Chloropropane,C3H7Cl,75-29-6,78.54068,489.0,4.54,0.247,0.276,0.198553
59,m-Cresol,C7H8O,108-39-4,108.13782,705.85,4.56,0.312,0.242,0.448034
60,o-Cresol,C7H8O,95-48-7,108.13782,697.55,5.01,0.282,0.244,0.43385
61,p-Cresol,C7H8O,106-44-5,108.13782,704.65,5.15,0.277,0.244,0.50721
62,Cumene,C9H12,98-82-8,120.19158,631.0,3.209,0.434,0.265,0.327406
63,Cyanogen,C2N2,460-19-5,52.0348,400.15,5.924,0.151,0.269,0.275605
64,Cyclobutane,C4H8,287-23-0,56.10632,459.93,4.98,0.21,0.273,0.18474
65,Cyclohexane,C6H12,110-82-7,84.15948,553.8,4.08,0.308,0.273,0.208054
66,Cyclohexanol,C6H12O,108-93-0,100.15888,650.1,4.26,0.322,0.254,0.369047
67,Cyclohexanone,C6H10O,108-94-1,98.143,653.0,4.0,0.311,0.229,0.299006
68,Cyclohexene,C6H10,110-83-8,82.1436,560.4,4.35,0.291,0.272,0.212302
69,Cyclopentane,C5H10,287-92-3,70.1329,511.7,4.51,0.26,0.276,0.194874
70,Cyclopentene,C5H8,142-29-0,68.11702,507.0,4.8,0.245,0.279,0.19611
71,Cyclopropane,C3H6,75-19-4,42.07974,398.0,5.54,0.162,0.271,0.127829
72,Cyclohexyl mercaptan,C6H12S,1569-69-3,116.22448,664.0,3.97,0.355,0.255,0.264134
73,Decanal,C10H20O,112-31-2,156.2652,674.0,2.6,0.575,0.267,0.520066
74,Decane,C10H22,124-18-5,142.28168,617.7,2.11,0.617,0.254,0.492328
75,Decanoic acid,C10H20O2,334-48-5,172.265,722.1,2.28,0.639,0.243,0.813724
76,1-Decanol,C10H22O,112-30-1,158.28108,688.0,2.308,0.645,0.26,0.606986
77,1-Decene,C10H20,872-05-9,140.2658,616.6,2.223,0.584,0.253,0.480456
78,Decyl mercaptan,C10H22S,143-10-2,174.34668,696.0,2.13,0.624,0.23,0.587421
79,1-Decyne,C10H18,764-93-2,138.24992,619.85,2.37,0.552,0.254,0.51783
80,Deuterium,D2,7782-39-0,4.0316,38.35,1.6617,0.060263,0.314,−0.14486
81,"1,1-Dibromoethane",C2H4Br2,557-91-5,187.86116,628.0,6.03,0.276,0.319,0.125025
82,"1,2-Dibromoethane",C2H4Br2,106-93-4,187.86116,650.15,5.4769,0.2616,0.265,0.206724
83,Dibromomethane,CH2Br2,74-95-3,173.83458,611.0,7.17,0.223,0.315,0.20945
84,Dibutyl ether,C8H18O,142-96-1,130.22792,584.1,2.46,0.487,0.247,0.447646
85,m-Dichlorobenzene,C6H4Cl2,541-73-1,147.00196,683.95,4.07,0.351,0.251,0.27898
86,o-Dichlorobenzene,C6H4Cl2,95-50-1,147.00196,705.0,4.07,0.351,0.244,0.219189
87,p-Dichlorobenzene,C6H4Cl2,106-46-7,147.00196,684.75,4.07,0.351,0.251,0.284638
88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.95916,523.0,5.07,0.24,0.28,0.233943
89,"1,2-Dichloroethane",C2H4Cl2,107-06-2,98.95916,561.6,5.37,0.22,0.253,0.286595
90,Dichloromethane,CH2Cl2,75-09-2,84.93258,510.0,6.08,0.185,0.265,0.198622
91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.98574,560.0,4.24,0.291,0.265,0.252928
92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.98574,572.0,4.24,0.291,0.259,0.256391
93,Diethanol amine,C4H11NO2,111-42-2,105.13564,736.6,4.27,0.349,0.243,0.952882
94,Diethyl amine,C4H11N,109-89-7,73.13684,496.6,3.71,0.301,0.27,0.303856
95,Diethyl ether,C4H10O,60-29-7,74.1216,466.7,3.64,0.28,0.263,0.281065
96,Diethyl sulfide,C4H10S,352-93-2,90.1872,557.15,3.96,0.318,0.272,0.29002
97,"1,1-Difluoroethane",C2H4F2,75-37-6,66.04997,386.44,4.5198,0.179,0.252,0.275052
98,"1,2-Difluoroethane",C2H4F2,624-72-6,66.04997,445.0,4.34,0.195,0.229,0.222428
99,Difluoromethane,CH2F2,75-10-5,52.02339,351.255,5.784,0.123,0.244,0.277138
100,Di–isopropyl amine,C6H15N,108-18-9,101.19,523.1,3.2,0.418,0.308,0.388315
101,Di–isopropyl ether,C6H14O,108-20-3,102.17476,500.05,2.88,0.386,0.267,0.338683
102,Di–isopropyl ketone,C7H14O,565-80-0,114.18546,576.0,3.02,0.416,0.262,0.404427
103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.121,507.8,3.773,0.297,0.265,0.32768
104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.14758,543.0,3.446,0.35,0.267,0.352222
105,Dimethyl acetylene,C4H6,503-17-3,54.09044,473.2,4.87,0.221,0.274,0.238542
compound,Name,Formula,CAS,MolWeight,Tc,Pc,Vc,Zc,Acentric factor
107,"2,3-Dimethylbutane",C6H14,79-29-8,86.17536,500.0,3.15,0.361,0.274,0.249251
108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.21264,591.15,2.93843,0.45,0.269,0.232569
109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-4,112.21264,606.15,2.93843,0.46,0.268,0.232443
110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.21264,596.15,2.93843,0.46,0.273,0.237864
111,Dimethyl disulfide,C2H6S2,624-92-0,94.19904,615.0,5.36,0.252,0.264,0.205916
112,Dimethyl ether,C2H6O,115-10-6,46.06844,400.1,5.37,0.17,0.2744,0.200221
113,"N,N-Dimethyl formamide",C3H7NO,68-12-2,73.09378,649.6,4.42,0.26199,0.214,0.31771
114,"2,3-Dimethylpentane",C7H16,565-59-3,100.20194,537.3,2.91,0.393,0.256,0.296407
115,Dimethyl phthalate,C10H10O4,131-11-3,194.184,766.0,2.78,0.53,0.231,0.656848
116,Dimethylsilane,C2H8Si,1111-74-6,60.17042,402.0,3.56,0.258,0.275,0.129957
