compound,Name,Formula,CAS,MolWeight,C1,C2,C3,C4,Tmin,Dmin,Tmax,Dmax
1,Acetaldehyde,C2H4O,75-07-0,44.05256,1.711365,0.26355,466.0,0.28571,149.78,21.423,466.0,6.4935
2,Acetamide,C2H5NO,60-35-5,59.0672,1.016,0.21845,761.0,0.26116,353.33,16.936,761.0,4.6509
3,Acetic acid,C2H4O2,64-19-7,60.052,1.4486,0.25892,591.95,0.2529,289.81,17.492,591.95,5.5948
4,Acetic anhydride,C4H6O3,108-24-7,102.08864,0.79388,0.24119,606.0,0.29817,200.15,11.626,606.0,3.2915
5,Acetone,C3H6O,67-64-1,58.07914,1.2332,0.25886,508.2,0.2913,178.45,15.683,508.2,4.764
6,Acetonitrile,C2H3N,75-05-8,41.0519,1.0693,0.20656,545.5,0.24699,229.32,20.544,545.5,5.1767
7,Acetylene,C2H2,74-86-2,26.03728,2.4507,0.27448,308.3,0.28752,192.4,23.692,308.3,8.9285
8,Acrolein,C3H4O,107-02-8,56.06326,1.3261,0.26124,506.0,0.2489,185.45,16.822,506.0,5.0762
9,Acrylic acid,C3H4O2,79-10-7,72.06266,1.2414,0.25822,615.0,0.30701,286.15,14.693,615.0,4.8075
10,Acrylonitrile,C3H3N,107-13-1,53.0626,1.0379,0.22465,540.0,0.28921,189.63,17.254,540.0,4.6201
11,Air,Mixture,132259-10-0,28.96,2.8963,0.26733,132.45,0.27341,59.15,33.279,132.45,10.834
12,Ammonia,H3N,7664-41-7,17.03052,3.5383,0.25443,405.65,0.2888,195.41,43.141,405.65,13.907
13,Anisole,C7H8O,100-66-3,108.13782,0.77488,0.26114,645.6,0.28234,235.65,9.6675,645.6,2.9673
14,Argon,Ar,7440-37-1,39.948,3.8469,0.2881,150.86,0.29783,83.78,35.491,150.86,13.353
15,Benzamide,C7H7NO,55-21-0,121.13658,0.7371,0.25487,824.0,0.28571,403.0,8.9381,824.0,2.8921
16,Benzene,C6H6,71-43-2,78.11184,1.0259,0.26666,562.05,0.28394,278.68,11.422,562.05,3.8472
17,Benzenethiol,C6H6S,108-98-5,110.17684,0.83573,0.26326,689.0,0.30798,258.27,10.074,689.0,3.1745
18,Benzoic acid,C7H6O2,65-85-0,122.12134,0.71587,0.24812,751.0,0.2857,395.45,8.8935,751.0,2.8852
19,Benzonitrile,C7H5N,100-47-0,103.1213,0.72184,0.24606,702.3,0.28789,260.28,10.008,702.3,2.9336
20,Benzophenone,C13H10O,119-61-9,182.2179,0.43743,0.24833,830.0,0.27555,321.35,5.9496,830.0,1.7615
21,Benzyl alcohol,C7H8O,100-51-6,108.13782,0.59867,0.22849,720.15,0.23567,257.85,9.9051,720.15,2.6201
22,Benzyl ethyl ether,C9H12O,539-30-0,136.19098,0.60917,0.26925,662.0,0.2632,275.65,7.0651,662.0,2.2625
23,Benzyl mercaptan,C7H8S,100-53-8,124.20342,0.70797,0.25982,718.0,0.32144,243.95,8.8623,718.0,2.7248
24,Biphenyl,C12H10,92-52-4,154.2078,0.52257,0.25833,773.0,0.27026,342.2,6.4251,773.0,2.0229
25,Bromine,Br2,7726-95-6,159.808,2.1872,0.29527,584.15,0.3295,265.85,20.109,584.15,7.4075
26,Bromobenzene,C6H5Br,108-86-1,157.0079,0.8226,0.26632,670.15,0.2821,242.43,9.9087,670.15,3.0888
27,Bromoethane,C2H5Br,74-96-4,108.965,1.3285,0.2708,503.8,0.3012,154.25,15.809,503.8,4.9058
28,Bromomethane,CH3Br,74-83-9,94.93852,1.796,0.27065,464.0,0.28947,173.0,20.787,464.0,6.6359
29,"1,2-Butadiene",C4H6,590-19-2,54.09044,1.187,0.26114,452.0,0.3065,136.95,15.123,452.0,4.5455
30,"1,3-Butadiene",C4H6,106-99-0,54.09044,1.2346,0.27216,425.0,0.28707,164.25,14.058,425.0,4.5363
31,Butane,C4H10,106-97-8,58.1222,1.0677,0.27188,425.12,0.28688,134.86,12.62,425.12,3.9271
32,"1,2-Butanediol",C4H10O2,584-03-2,90.121,0.81696,0.24755,680.0,0.24535,220.0,11.734,680.0,3.3002
