compound,Name,Formula,CAS,MolWeight,C1,C2,C3,C4,Tmin,DHmin,Tmax,DHmax
1,Acetaldehyde,C2H4O,75-07-0,44.05256,3.40880e+07,0.043317,0.21502,0.23791,149.78,3.23240e+07,466.0,0.0
2,Acetamide,C2H5NO,60-35-5,59.0672,9.94750e+07,0.94835,0.51011,0.015094,353.15,6.36890e+07,761.0,0.0
3,Acetic acid,C2H4O2,64-19-7,60.052,6.12755e+07,3.683421,6.193052,2.977694,289.81,2.44660e+07,591.95,0.0
4,Acetic anhydride,C4H6O3,108-24-7,102.08864,5.85640e+07,0.33055,0.057073,0.083671,200.15,5.14960e+07,606.0,0.0
5,Acetone,C3H6O,67-64-1,58.07914,4.92580e+07,1.0809,1.3684,0.69723,178.45,3.66050e+07,508.2,0.0
6,Acetonitrile,C2H3N,75-05-8,41.0519,3.83450e+07,0.033941,0.34283,-0.13415,229.315,3.52490e+07,545.5,0.0
7,Acetylene,C2H2,74-86-2,26.03728,1.70590e+07,0.52025,1.0982,-0.29832,192.4,1.62620e+07,308.3,0.0
8,Acrolein,C3H4O,107-02-8,56.06326,6.65990e+07,2.2443,2.9192,1.1113,185.45,3.63950e+07,506.0,0.0
9,Acrylic acid,C3H4O2,79-10-7,72.06266,4.37560e+07,2.2571,4.5116,2.5738,286.15,2.79650e+07,615.0,0.0
10,Acrylonitrile,C3H3N,107-13-1,53.0626,4.30520e+07,0.095188,0.47381,-0.26294,189.63,3.89890e+07,540.0,0.0
11,Air,Mixture,132259-10-0,28.96,7.45870e+06,0.47571,0.71131,0.60517,59.15,6.32470e+06,132.45,0.0
12,Ammonia,H3N,7664-41-7,17.03052,3.15230e+07,0.3914,0.2289,0.2309,195.41,2.52980e+07,405.65,0.0
13,Anisole,C7H8O,100-66-3,108.13782,7.69260e+07,1.4255,1.6901,0.72371,235.65,5.10000e+07,645.6,0.0
14,Argon,Ar,7440-37-1,39.948,8.42150e+06,0.28333,0.033281,0.030551,83.78,6.54400e+06,150.86,0.0
15,Benzamide,C7H7NO,55-21-0,121.13658,8.78090e+07,0.1933,0.30877,-0.14162,403.0,7.12860e+07,824.0,0.0
