compound,Name,Formula,CAS,C1,C2,C3,C4,C5,Tmin,Pmin,Tmax,Pmax
1,Acetaldehyde,C2H4O,75-07-0,52.9107,-4643.14,-4.50683,2.7e-17,6,149.78,51.5,466.0,5570000.0
2,Acetamide,C2H5NO,60-35-5,125.81,-12376.0,-14.589,5.0824e-06,2,353.33,336.0,761.0,6569000.0
3,Acetic acid,C2H4O2,64-19-7,53.27,-6304.5,-4.2985,8.89e-18,6,289.81,1280.0,591.95,5739000.0
4,Acetic anhydride,C4H6O3,108-24-7,67.1818,-7463.47,-6.24388,6.86e-18,6,200.15,410.0,606.0,4000000.0
5,Acetone,C3H6O,67-64-1,69.006,-5599.6,-7.0985,6.2237e-06,2,178.45,2.79,508.2,4709000.0
6,Acetonitrile,C2H3N,75-05-8,46.735,-5126.18,-3.54064,1.4e-17,6,229.32,171.0,545.5,4850000.0
7,Acetylene,C2H2,74-86-2,39.63,-2552.2,-2.78,2.39e-16,6,192.4,127000.0,308.3,6106000.0
8,Acrolein,C3H4O,107-02-8,138.4,-7122.7,-19.638,0.026447,1,185.45,10.3,506.0,5020000.0
9,Acrylic acid,C3H4O2,79-10-7,46.745,-6587.1,-3.2208,5.2253e-07,2,286.15,257.0,615.0,5661000.0
10,Acrylonitrile,C3H3N,107-13-1,57.3157,-5662.2,-5.06221,1.51e-17,6,189.63,2.47,540.0,4660000.0
11,Air,Mixture,132259-10-0,21.662,-692.39,-0.39208,0.0047574,1,59.15,5640.0,132.45,3793000.0
12,Ammonia,H3N,7664-41-7,90.483,-4669.7,-11.607,0.017194,1,195.41,6110.0,405.65,11300000.0
13,Anisole,C7H8O,100-66-3,128.06,-9307.7,-16.693,0.014919,1,235.65,2.45,645.6,4273000.0
14,Argon,Ar,7440-37-1,42.127,-1093.1,-4.1425,5.7254e-05,2,83.78,68700.0,150.86,4896000.0
15,Benzamide,C7H7NO,55-21-0,85.474,-11932.0,-8.3348,1.29e-18,6,403.0,355.0,824.0,5047000.0
16,Benzene,C6H6,71-43-2,83.107,-6486.2,-9.2194,6.9844e-06,2,278.68,4760.0,562.05,4875000.0
17,Benzenethiol,C6H6S,108-98-5,77.765,-8455.1,-7.7404,4.31e-18,6,258.27,7.68,689.0,4728000.0
18,Benzoic acid,C7H6O2,65-85-0,88.513,-11829.0,-8.6826,2.32e-19,6,395.45,796.0,751.0,4469000.0
19,Benzonitrile,C7H5N,100-47-0,55.0403,-7363.83,-4.50612,1.95e-18,6,260.28,5.4,702.3,4215000.0
20,Benzophenone,C13H10O,119-61-9,88.404,-11769.0,-8.9014,1.93e-18,6,321.35,1.49,830.0,3357000.0
21,Benzyl alcohol,C7H8O,100-51-6,100.68,-11059.0,-10.709,3.06e-18,6,257.85,18.8,720.15,4372000.0
22,Benzyl ethyl ether,C9H12O,539-30-0,68.541,-7886.2,-6.5804,2.4285e-06,2,275.65,23.1,662.0,3113000.0
23,Benzyl mercaptan,C7H8S,100-53-8,118.02,-10527.0,-13.91,6.4794e-06,2,243.95,29.8,718.0,4074000.0
24,Biphenyl,C12H10,92-52-4,77.314,-9910.4,-7.5079,2.24e-18,6,342.2,94.2,773.0,3407000.0
25,Bromine,Br2,7726-95-6,108.26,-6592.0,-14.16,0.016043,1,265.85,5850.0,584.15,10280000.0
26,Bromobenzene,C6H5Br,108-86-1,63.749,-7130.2,-5.879,5.21e-18,6,242.43,7.84,670.15,4520000.0
27,Bromoethane,C2H5Br,74-96-4,57.3242,-4931.2,-5.2244,3.08e-17,6,154.25,38.0,503.8,5565000.0
28,Bromomethane,CH3Br,74-83-9,44.7643,-3907.8,-3.4016,2.95e-17,6,179.44,207.0,464.0,6929000.0
29,"1,2-Butadiene",C4H6,590-19-2,39.714,-3769.9,-2.6407,6.94e-18,6,136.95,44.7,452.0,4361000.0
30,"1,3-Butadiene",C4H6,106-99-0,75.572,-4621.9,-8.5323,1.2269e-05,2,164.25,69.2,425.0,4303000.0
31,Butane,C4H10,106-97-8,66.343,-4363.2,-7.046,9.4509e-06,2,134.86,67.4,425.12,3770000.0
32,"1,2-Butanediol",C4H10O2,584-03-2,103.28,-11548.0,-10.925,4.26e-18,6,220.0,29300.0,680.0,5202000.0
33,"1,3-Butanediol",C4H10O2,107-88-0,123.22,-12620.0,-13.986,3.926e-06,2,196.15,37400000.0,676.0,4033000.0
34,1-Butanol,C4H10O,71-36-3,106.29483,-9866.35511,-11.6553,1.08e-17,6,183.85,29100.0,563.1,4414000.0
35,2-Butanol,C4H10O,78-92-2,122.552,-10236.2,-14.125,2.36e-17,6,158.45,1240000.0,535.9,4190000.0
36,1-Butene,C4H8,106-98-9,51.836,-4019.2,-4.5229,4.88e-17,6,87.8,69400000.0,419.5,4021000.0
37,cis-2-Butene,C4H8,590-18-1,72.541,-4691.2,-7.9776,1.0368e-05,2,134.26,27.2,435.5,4238000.0
38,trans-2-Butene,C4H8,624-64-6,71.704,-4563.1,-7.9053,1.1319e-05,2,167.62,74.5,428.6,4100000.0
39,Butyl acetate,C6H12O2,123-86-4,122.82,-9253.2,-14.99,1.047e-05,2,199.65,817.0,575.4,3087000.0
40,Butylbenzene,C10H14,104-51-8,101.22,-9255.4,-11.538,5.9208e-06,2,185.3,15400.0,660.5,2882000.0
41,Butyl mercaptan,C4H10S,109-79-5,65.382,-6262.4,-6.2585,1.49e-17,6,157.46,2350.0,570.1,3973000.0
42,sec-Butyl mercaptan,C4H10S,513-53-1,60.649,-5785.9,-5.6113,1.59e-17,6,133.02,340000.0,554.0,4060000.0
43,1-Butyne,C4H6,107-00-6,77.004,-5054.5,-8.5665,1.0161e-05,2,147.43,1.18,440.0,4599000.0
44,Butyraldehyde,C4H8O,123-72-8,51.648,-5301.36,-4.2559,1.14e-17,6,176.8,69.7,537.2,4410000.0
45,Butyric acid,C4H8O2,107-92-6,78.1171,-8924.37,-7.59929,7.39e-18,6,267.95,10.3,615.7,4060000.0
46,Butyronitrile,C4H7N,109-74-0,60.6576,-6404.32,-5.49286,1.13e-17,6,161.3,94100.0,585.4,3880000.0
47,Carbon dioxide,CO2,124-38-9,47.0169,-2839.0,-3.86388,2.81e-16,6,216.58,518000.0,304.21,7384000.0
48,Carbon disulfide,CS2,75-15-0,67.114,-4820.4,-7.5303,0.0091695,1,161.11,1.49,552.0,8041000.0
49,Carbon monoxide,CO,630-08-0,45.698,-1076.6,-4.8814,7.5673e-05,2,68.15,15400.0,132.92,3494000.0
50,Carbon tetrachloride,CCl4,56-23-5,78.441,-6128.1,-8.5766,6.8465e-06,2,250.33,1120.0,556.35,4544000.0
51,Carbon tetrafluoride,CF4,75-73-0,61.89,-2296.3,-7.086,3.4687e-05,2,89.56,108.0,227.51,3742000.0
52,Chlorine,Cl2,7782-50-5,71.334,-3855.0,-8.5171,0.012378,1,172.12,1370.0,417.15,7793000.0
53,Chlorobenzene,C6H5Cl,108-90-7,54.144,-6244.4,-4.5343,4.7e-18,6,227.95,8.45,632.35,4529000.0
54,Chloroethane,C2H5Cl,75-00-3,44.677,-4026.0,-3.371,2.27e-17,6,136.75,26.1,460.35,5267000.0
55,Chloroform,CHCl3,67-66-3,146.43,-7792.3,-20.614,0.024578,1,207.15,52.5,536.4,5554000.0
56,Chloromethane,CH3Cl,74-87-3,44.555,-3521.3,-3.4258,5.63e-17,6,175.45,884.0,416.25,6759000.0
57,1-Chloropropane,C3H7Cl,540-54-5,58.3592,-5111.33,-5.35261,2.47e-17,6,150.35,847.0,503.15,4425000.0
58,2-Chloropropane,C3H7Cl,75-29-6,46.854,-4445.5,-3.6533,1.33e-17,6,155.97,90.8,489.0,4510000.0
59,m-Cresol,C7H8O,108-39-4,95.403,-10581.0,-10.004,4.3e-18,6,285.39,5.86,705.85,4522000.0
60,o-Cresol,C7H8O,95-48-7,210.88,-13928.0,-29.483,0.025182,1,304.19,65.3,697.55,5058000.0
61,p-Cresol,C7H8O,106-44-5,118.53,-11957.0,-13.293,8.7e-18,6,307.93,34.5,704.65,5151000.0
62,Cumene,C9H12,98-82-8,102.81,-8674.6,-11.922,7.0048e-06,2,177.14,47100.0,631.0,3226000.0
63,Cyanogen,C2N2,460-19-5,39.0596,-3473.98,-2.48683,2.86e-17,6,245.25,74400.0,400.15,5924000.0
64,Cyclobutane,C4H8,287-23-0,85.899,-4884.4,-10.883,0.014934,1,182.48,180.0,459.93,4991000.0
65,Cyclohexane,C6H12,110-82-7,51.087,-5226.4,-4.2278,9.76e-18,6,279.69,5360.0,553.8,4093000.0
66,Cyclohexanol,C6H12O,108-93-0,189.19,-14337.0,-24.148,1.074e-05,2,296.6,76.5,650.1,4265000.0
67,Cyclohexanone,C6H10O,108-94-1,85.424,-7944.4,-9.2862,4.9957e-06,2,242.0,6.8,653.0,3989000.0
68,Cyclohexene,C6H10,110-83-8,88.184,-6624.9,-10.059,8.2566e-06,2,169.67,10.4,560.4,4392000.0
69,Cyclopentane,C5H10,287-92-3,66.341,-5198.5,-6.8103,6.193e-06,2,179.28,9.07,511.7,4513000.0
70,Cyclopentene,C5H8,142-29-0,67.952,-5187.5,-7.0785,6.8165e-06,2,138.13,128.0,507.0,4799000.0
71,Cyclopropane,C3H6,75-19-4,40.608,-3179.6,-2.8937,5.61e-17,6,145.59,78.0,398.0,5494000.0
72,Cyclohexyl mercaptan,C6H12S,1569-69-3,85.146,-7843.7,-9.2982,5.1788e-06,2,189.64,8240.0,664.0,3970000.0
73,Decanal,C10H20O,112-31-2,93.5742,-10403.8,-9.79483,4.57e-18,6,285.0,5.51,674.0,2600000.0
74,Decane,C10H22,124-18-5,112.73,-9749.6,-13.245,7.1266e-06,2,243.51,1.39,617.7,2091000.0
75,Decanoic acid,C10H20O2,334-48-5,126.405,-14864.6,-13.9067,2.51e-18,6,304.55,14.5,722.1,2280000.0
76,1-Decanol,C10H22O,112-30-1,156.23933,-15212.33492,-18.42393,8.5e-18,6,280.05,15.0,688.0,2308000.0
77,1-Decene,C10H20,872-05-9,68.401,-7776.9,-6.4637,6.38e-18,6,206.89,259.0,616.6,2223000.0
78,Decyl mercaptan,C10H22S,143-10-2,91.91,-10565.0,-9.5957,5.7e-18,6,247.56,259.0,696.0,2130000.0
79,1-Decyne,C10H18,764-93-2,142.94,-11119.0,-17.818,1.102e-05,2,229.15,16.0,619.85,2363000.0
80,Deuterium,D2,7782-39-0,18.947,-154.47,-0.57226,0.038899,1,18.73,17200.0,38.35,1663000.0
81,"1,1-Dibromoethane",C2H4Br2,557-91-5,62.711,-6503.5,-5.7669,1.0427e-06,2,210.15,2.64,628.0,6034000.0
82,"1,2-Dibromoethane",C2H4Br2,106-93-4,43.751,-5587.7,-3.0891,8.2664e-07,2,282.85,753.0,650.15,5375000.0
83,Dibromomethane,CH2Br2,74-95-3,86.295,-7010.3,-9.5972,6.7794e-06,2,220.6,21.3,611.0,7170000.0
84,Dibutyl ether,C8H18O,142-96-1,72.227,-7537.6,-7.0596,9.14e-18,6,175.3,71400.0,584.1,2459000.0
85,m-Dichlorobenzene,C6H4Cl2,541-73-1,53.187,-6827.5,-4.3233,2.31e-18,6,248.39,6.41,683.95,4070000.0
86,o-Dichlorobenzene,C6H4Cl2,95-50-1,77.105,-8111.1,-7.8886,2.7267e-06,2,256.15,6.49,705.0,4074000.0
87,p-Dichlorobenzene,C6H4Cl2,106-46-7,88.31,-8463.4,-9.6308,4.5833e-06,2,326.14,1230.0,684.75,4070000.0
88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,66.611,-5493.1,-6.7301,5.3579e-06,2,176.19,2.21,523.0,5106000.0
89,"1,2-Dichloroethane",C2H4Cl2,107-06-2,92.355,-6920.4,-10.651,9.1426e-06,2,237.49,237.0,561.6,5318000.0
90,Dichloromethane,CH2Cl2,75-09-2,101.6,-6541.6,-12.247,1.2311e-05,2,178.01,5.93,510.0,6093000.0
91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,83.495,-6661.4,-9.2386,6.7652e-06,2,192.5,1.72,560.0,4239000.0
92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,65.955,-6015.6,-6.5509,4.3172e-06,2,172.71,825.0,572.0,4232000.0
93,Diethanol amine,C4H11NO2,111-42-2,106.38,-13714.0,-11.06,3.26e-18,6,301.15,10.2,736.6,4260000.0
94,Diethyl amine,C4H11N,109-89-7,49.314,-4949.0,-3.9256,9.2e-18,6,223.35,374.0,496.6,3674000.0
95,Diethyl ether,C4H10O,60-29-7,136.9,-6954.3,-19.254,0.024508,1,156.85,39.5,466.7,3641000.0
96,Diethyl sulfide,C4H10S,352-93-2,46.705,-5177.4,-3.5985,1.7147e-06,2,169.2,993.0,557.15,3961000.0
97,"1,1-Difluoroethane",C2H4F2,75-37-6,73.491,-4385.9,-8.1851,1.2978e-05,2,154.56,64.5,386.44,4507000.0
98,"1,2-Difluoroethane",C2H4F2,624-72-6,84.625,-5217.4,-9.871,1.305e-05,2,179.6,117.0,445.0,4372000.0
99,Difluoromethane,CH2F2,75-10-5,69.132,-3847.7,-7.5868,1.5065e-05,2,136.95,54.3,351.26,5761000.0
100,Di-sopropyl amine,C6H15N,108-18-9,462.84,-18227.0,-73.734,0.092794,1,176.85,4470.0,523.1,3199000.0
101,Di-sopropyl ether,C6H14O,108-20-3,41.631,-4668.7,-2.8551,0.00063693,1,187.65,6.86,500.05,2869000.0
102,Di-sopropyl ketone,C7H14O,565-80-0,50.868,-6036.5,-4.066,1.1326e-06,2,204.81,82.1,576.0,3017000.0
103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,53.637,-5251.2,-4.5649,1.68e-17,6,159.95,945.0,507.8,3773000.0
104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,62.097,-6174.9,-5.715,1.23e-17,6,226.1,45.0,543.0,3447000.0
105,Dimethyl acetylene,C4H6,503-17-3,66.592,-4999.8,-6.8387,6.6793e-06,2,240.91,6120.0,473.2,4870000.0
106,Dimethyl amine,C2H7N,124-40-3,71.738,-5302.0,-7.3324,6.42e-17,6,180.96,75.6,437.2,5258000.0
107,"2,3-Dimethylbutane",C6H14,79-29-8,77.161,-5691.1,-8.501,8.0325e-06,2,145.19,152.0,500.0,3130000.0
108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,81.184,-6927.0,-8.8498,5.458e-06,2,239.66,60.6,591.15,2939000.0
109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-4,78.952,-7075.4,-8.4344,4.5035e-06,2,223.16,6.41,606.15,2939000.0
110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,78.429,-6882.1,-8.4129,4.9831e-06,2,184.99,804.0,596.15,2938000.0
111,Dimethyl disulfide,C2H6S2,624-92-0,81.045,-6941.3,-8.777,5.5501e-06,2,188.44,20.7,615.0,5363000.0
112,Dimethyl ether,C2H6O,115-10-6,44.704,-3525.6,-3.4444,5.46e-17,6,131.65,3.05,400.1,5274000.0
113,"N,N-Dimethyl formamide",C3H7NO,68-12-2,82.762,-7955.5,-8.8038,4.2431e-06,2,212.72,19.5,649.6,4365000.0
114,"2,3-Dimethylpentane",C7H16,565-59-3,78.335,-6348.7,-8.5105,6.4311e-06,2,160.0,126.0,537.3,2882000.0
115,Dimethyl phthalate,C10H10O4,131-11-3,72.517,-10415.0,-6.755,1.3269e-06,2,274.18,372.0,766.0,2779000.0
116,Dimethylsilane,C2H8Si,1111-74-6,63.08,-4062.3,-6.425,1.51e-16,6,122.93,41.5,402.0,3561000.0
117,Dimethyl sulfide,C2H6S,75-18-3,84.39,-5740.6,-9.6454,1.0073e-05,2,174.88,7.86,503.04,5533000.0
118,Dimethyl sulfoxide,C2H6OS,67-68-5,56.273,-7620.6,-4.6279,4.3819e-07,2,291.67,50.2,729.0,5648000.0
119,Dimethyl terephthalate,C10H10O4,120-61-6,66.1795,-9870.41,-5.85599,1.47e-18,6,413.79,1150.0,777.4,2759000.0
120,"1,4-Dioxane",C4H8O2,123-91-1,44.494,-5406.7,-3.1287,2.89e-18,6,284.95,2530.0,587.0,5158000.0
121,Diphenyl ether,C12H10O,101-84-8,59.969,-8585.5,-5.1538,2e-18,6,300.03,7.09,766.8,3097000.0
122,Dipropyl amine,C6H15N,142-84-7,54.0,-6018.5,-4.4981,9.97e-18,6,210.15,3.69,550.0,3111000.0
123,Dodecane,C12H26,112-40-3,137.47,-11976.0,-16.698,8.0906e-06,2,263.57,61.5,658.0,1822000.0
124,Eicosane,C20H42,112-95-8,203.66,-19441.0,-25.525,8.8382e-06,2,309.58,9260.0,768.0,1175000.0
125,Ethane,C2H6,74-84-0,51.857,-2598.7,-5.1283,1.4913e-05,2,90.35,1.13,305.32,4852000.0
126,Ethanol,C2H6O,64-17-5,73.304,-7122.3,-7.1424,2.8853e-06,2,159.05,49600.0,514.0,6109000.0
127,Ethyl acetate,C4H8O2,141-78-6,66.824,-6227.6,-6.41,1.79e-17,6,189.6,1.43,523.3,3850000.0
128,Ethyl amine,C2H7N,75-04-7,81.56,-5596.9,-9.0779,8.792e-06,2,192.15,152.0,456.15,5594000.0
129,Ethylbenzene,C8H10,100-41-4,89.063,-7733.7,-9.917,5.986e-06,2,178.2,3910.0,617.15,3590000.0
130,Ethyl benzoate,C9H10O2,93-89-0,52.923,-7531.7,-4.2347,1.1835e-06,2,238.45,16.9,698.0,3203000.0
131,2-Ethyl butanoic acid,C6H12O2,88-09-5,90.464,-10243.0,-9.2836,5.26e-18,6,258.15,46.3,655.0,3403000.0
132,Ethyl butyrate,C6H12O2,105-54-4,57.661,-6346.5,-5.032,8.25e-18,6,175.15,104.0,571.0,2935000.0
